text,likes,impressions,followers
In case you’re wondering how hot it is- we just went for a quick lunch &amp; I parked on a disabled park spot &amp; my tyres now have blue &amp; white paint on the tread. 🥵,11,545,987
"Skittles Original, Glide Pro-health Advanced Floss, Franz Great Seed Organic Bread, Pork Loin Loin Chops, Pepperidge Farm Goldfish Crackers",0,20,86
"Do you have a lunch? Here, we can share!",0,32,253
breakfast lunch and dinner is such a lie from the government,1,156,587
"okay, a 30 yr old bara deep voice dude, who love street food videos, food and just chilling in life, and zatsudans sound like i have a preference",5,69,154
"""THIS IS JAPANESE LUNCH TIME RUSH!"" - Kagami Taiga",0,6,38
"""that you have some very valuable jewellery    At twelve-fifty-five she consented graciously to a suggestion of lunch 🥓🍤🥝",0,0,2
Upma&gt;&gt;&gt;&gt;&gt;&gt; any other breakfast,0,19,102
Matty healy smoothie,3,352,532
Lose weight now with our updated diet planshttps://tinyurl.com/y596j6hn,0,0,32
One thing ima do is order a mango smoothie at Dennys,1,259,634
Time to finish up cooking Sunday lunch so I can Bev in peace.,0,233,326
im trying out organic frozen peas &amp; corn .. why on earth does it taste better ........... IT WAS CHEAPER TOO LIEK WHAT,18,435,620
he likes street food videos??? oh he sounding a little like my dad LMAO,1,60,125
"Who else eat breakfast, brunch, lunch, pre-workout meal, post-workout meal, dinner, and supper?",0,46,418
"Recipe if #stewed: Mix BAKED SWEET POTATOES with Stinger, then melt Asparagus Tips and serve with a warm glass of Hua Shan Huang Ya Yellow Buds. Bon appétit! (✿ ♥‿♥)",0,8,11
"#Shinri_Debut 
discounted food and street food vids
he just like me frfr",1,149,284
southern food and Korean food go together so well it’s kinda crazy. Southern smoked pork and kimchi? Absolutely fire. Brisket and ssamjang? Worth committing crimes for.,4,172,152
I LOVE STREET FOOD VIDEOS,0,61,704
Nothing Better than FAMILY lunch On Sunday 🖤💙,2,631,4435
"Street food videos are great 😌
#Shinri_Debut",0,173,654
I don’t understand how I keep coming to work and leaving my lunch. Its not wven funny anymore 😩,0,27,504
I already know Gervonta was eating lunch at 10:15 in the morning the way he talking,0,308,712
"(eyes his playlist of Taiwanese street food YouTubes)

...

...

...TWIN? #Shinri_Debut",0,90,305
"I haven't trusted polls since I read that 62% of women had affairs during their lunch hour. ~Ashika

JANTA KI JAAN PRIYANKA",3,54,2678
My sister and I saw a video of our nephew eating ramen so here we are eating ramen at 1130pm🙃,0,61,424
just like boo boo the fool i put on my chef's hat and clown shoes and spent 2 hours cooking lunch only to take a couple bites and lose all my appetite 🤡🤡🤡,0,55,357
Gulai tempoyak ayam for lunch because firstborn request for it,1,205,657
"Hi all,
From tomorrow Year 11 are starting their new 15 period day. Lesson 1 starts at 5:30am and lesson 15 will finish at 8pm. We will be giving the students a full hour for lunch. Staff can consider this PPA time. Homework will be set, marked and feedback given daily.
Thanks x",331,34600,42753
Will ramen noodles cure me?,0,139,202
"Long shift today, 7:30 till 13:30 

Looking at how the lunch shift is done incase I ever have to do one.",4,237,500
u thought i was feeling u? that nigga a munch. nigga a eater he eat it for lunch. bitch im a baddie i get what i want like.,0,30,13
Was feeling self conscious about my weight loss from dieting slowing down while i’ve been home but I took a selfie today and I looked good af.,0,23,168
This magical lady at the farmers market convinced me that this dark local honey would cure my allergies and it might be a placebo type beat but Sheittttt I do feel better,5,980,5927
"S-senpai? What do you think about today’s lunch? I think I’m improving b— oh the band-aids? Don’t worry, senpai, I’m just a bit clumsy.",0,0,41
"-Fanon
💚""Senpai, here…""
❤️""Hm? What’s this?""
💚""A bento… My mom kept insisting I make one out of the leftovers from the fridge, but I’m not really hungry, so…""
❤️""You’re giving it to me!? Wow, thank you! You’re not even my girlfriend, but I’m still so happy!""
💚""……""",1,62,305
Strawberry smoothie from Wawa gonna hit every time,1,269,1086
should i start throwing away my lunch once school starts… id feel so guilty idk if its worth it,0,119,1919
"i cut all soda, sugary drinks, and junk foods out my diet!",3,204,742
Bhai 3 weeks main bohut shades dikha diye Samrat ke🙏 Anyways I’m glad they’re moving towards this shaadi. I need a properly paced storyline which I hope they’ll give from now on. I don’t wanna have to justify the flips &amp; the instant noodle pace to myself anymore #YehHaiChahatein,8,2259,756
"Niggas getting stabbed outside distillery, I love Cap szn",3,445,482
Garcia just got a good lunch on him last sec,0,33,1287
"this is a lunch's menu, Deep fired Bacon🥓, severed with Dumpling🥟  , then vegetable for today will recommend with Onion🧅",0,1,31
"The food is sooo good in BK though. Next time, I’ll bring B for a lil foodie tour.",0,53,26
british food is so bad my parents banned me from mentioning it at the dinner table…,1,11,7
Let me make a smoothie ❤️,1,400,6658
Twitch is weird now that’s it not about gaming. Half of the big streamers are a 6th grade lunch table and the other half is a college politics class.,15,2412,1817
"SRVUSD is hosting a hiring event for kitchen positions! Please consider working for our team &amp; help spread the word to others! With your help, we can accomplish our goals to increase staffing to enable us to serve more students cooked-from-scratch meals &amp; reduce lunch wait times.",2,699,5169
Thanks Sweet Vegan Chocolates for the follow! Come in and check out the new items we have in stock for the #Winter! #Organic #Vegan #Coop,0,17,117
ya ya we'll eat tomorrows' lunch,0,5,2
"My girlfriend mama made fufu &amp; pepper soup and ofc I had to pack my shit to goooo, def gonna hit tomorrow morning 🤧😭",0,97,885
"Kia ora!! Let me introduce myself. I'm carol. Don't you want to find delicious cuisine with me around the world? I am in Greece🇬🇷. The weather where I am is ☁️🌜☁️⛈. 

 I gonna try🍔🍯🎂",0,2,27
"oji who drinks milk with a whole banana in the cup , oji who drinks tea, oji who drinks coffee",31,436,484
I just made me a smoothie bitch🫐,0,60,82
"Midwestern small town drama is so wild. In the place I grew up in there are rival farmers markets. Thing is it all used to be one farmers market but they split and now they have beef. Fuck they gonna do, throw corn at each other?",2,41,213
Lunch em tinali,3,300,670
If a female is a vegan then she’s organic which means she’s organic and freshly inside lol 😂 she has no dead smelling carcasses lol 😂,0,8,11
Adventure Location: Intriguing Brewery of the Bandit Tree.,0,0,2
a patchwork‚ crepe poncho‚ overprinted with a majestic flame,0,6,22
SHIN DRINOS COFFEE AND VESPER DRINKS TEA ZATSUDON WITH BOTH OF THEM,0,23,29
"I’m all the way in the gaming room chillin with my rats. All I heard from the living room since the raccoon is playing Ark with his homies was:

“Have you had sinigang? The best food in this server?”",3,136,341
Having lunch. Or at least I was going to have it if all the rice wasn't gone!,0,0,31
I don’t mean no harm but I don’t want no weed in my food because why is it weed infused chicken? maybe sweets MAYBE but leave the soul food alone lol,0,66,332
"Although a handwritten card, lunch &amp; some flowers would make my day💕 but that’s any day really lol",0,75,856
"Uncle Tunde is angry that the price of some food items and petrol is high. However, in another vein, he supports Russia's invasion of Ukraine.",0,62,907
Such an anti-climax. If Scotty Boland had been picked instead of Agar we’d have had this done and dusted by lunch.,15,979,1245
"Remember when Kenya checked Jigsaw at that lunch? Sksksksk 
#RHOA",0,55,92
"There is a time for laughing, and a time for crying. There’s a time for dieting and then there are Sundays for having chocolate chip cookies and biltong sticks. 🤤 #cheatmeal",0,260,63
"Lunch break: Chhattisgarh - 131/4 in 36.6 overs  (Gagandeep Singh 6 off 29, Sanjeet Desai 18 off 37) #CHHvMAH #CKNayudu",2,608,637181
*Takes a sip out of my smoothie* Do you wanna know how I became a bossbabe? (Read this in the Joker's voice),0,3,36
i just drank too much smoothie and bread roll img oing to die,0,21,85
"💬:  what did you had in thai?
🐺: i had a lot of thing. i even had pad thai. the catered food was great too. i can feel like i gain weight",18,313,859
ima get me some good soul food tomorrow,0,77,1355
"I think it's funny how food from its original country tastes better outside of it.

Like the best kebab I had is in Melbourne, not Turkey/Greece. The best Turkish Ice Cream I had is in Singapore, not Turkey. The best Nasi Lemak I had is in Malaysia, not Singapore. Eh?",0,148,408
"🧵: ...Ehehe, you didn’t come down for lunch, so we were kinda worried.
🐰: And so we flew up to deliver these to you before they got cold. It seems we gave you quite a fright, though. My apologies.
🐈‍⬛: No, thank you for going out of your way to come here. Are these pancakes...?",0,15,19
It's weird when you are eating your lunch then suddenly lose appetite 🥴,0,206,997
One study of one-million students showed people who ate a lunch without preservatives or artificial dyes scored 14% higher on IQ tests.,50,5508,171047
He ate pho for lunch 😂,0,12,85
"SPECIAL CAKE: Combine 5 eggs, 5 cups flour, 1 teespoon baking powder,  1 Cup water, 1 Cup oil, 1 Cup cranberries, 2 Cups chocolatechips. Preheat the oven to 200 Degrees. Mix well! Put your cake in the oven and after 30 minutes ...ENJOY !!  :)",0,6,11
i wouldn’t care if they was puttin cyanide in ramen noodle packs imma still eat em,2,117,89
"Kia ora. You are at the origin of Pho-land!!! 

Your local cuisine dish will be 🥁 
 
Vietnamese spring rolls.  

I challenge you to eat this dish with a soup spoon. And without closing your elegant eyes.",0,1,51
Went grocery shopping and kept things in my mind to take to work for lunch but I deadass forgot they’re cutting our hours right now so I don’t even get lunch,0,37,49
Frank &amp; Richard's food truck gon have to see me soon,0,93,1047
kid behind me on my budget ass flight : “what are we having for lunch muuuum?”,2,192,408
"Our original line of green tea is USDA and Japan Organic &amp; Natural Foods Association (JONA) certified ORGANIC. Safe, green, and delicious!!",0,1,73
Ryan Blaney driving the number 9 Smoothie King Toyota,0,22,107
...Do you... want half of this yakisoba pan?,0,5,18
working out is so stupid let’s bring back a line of coke for lunch and an almond as an afternoon snack,11,559,387
"I delivered medicines to my senior when he contracted Covid-19. He thanked me and treated me to special lunch ""Jojoen""🥩 today.
I ate Jojoen for the first time🤤
""The good you do for others is good you do yourself.""",0,11,8
I am so full of every fondue variety,1,78,315
"my team is herb, sorbet, sea doody, raspberry (two star omg) and crepe - 11/16/2021",0,2,7
you thought i was foolin you? bitch says ima munch. nigga she gave me for lunch!,1,36,211
why do I love sours but hate kombucha someone explain,1,126,552
"Breakfast:  🍮 Custard  (2 servings)  🍕 Pizza  (1 serving) 
 Lunch:   🍫 Chocolate Bar  (2 servings)  🥖 Baguette Bread  (2 servings) 🍤 Fried Shrimp (1 serving)
 Dinner:   🍗 Poultry Leg  (2 servings)  🍧 Shaved Ice  (2 servings)  🍸 Cocktail Glass  (2 servings)",1,36,11
"so you met lucien in the lunch line, and now he's all that you can see.",0,13,90
a food truck wants to read a cookbook Flight Cuisine,0,1,8
"perhaps an early lunch    "" he said crisply 🥓🥦🥬",0,3,1
need yakisoba bun,0,6,144
"I have to assume Draisaitl is hurt. If not, wow. Brutal game where he played with the two best forwards not 97 most of the night and got nothing done.
The coaching on this team right now is solidly out to lunch. Did 13 even play the last 10 minutes?",0,131,165
Craving jollof rice and amala,15,1177,938
let’s see if my attempt to omad lunch will work 🫡,1,148,2820
Guess I’ll get up &amp; work out early so I can clock in around lunch,0,43,911
i hate. when white ppl make “soul food recipes” like bitch. tht just completely erases the entire meaning of *SOUL* food 😭,0,32,69
"You can lose weight in 8–10 weeks with any diet. 
However, it is crucial whether you can stay close to that diet and training after 8-10 weeks or not.
Otherwise, all the efforts will be in vain.
A sustainable approach is a permanent fix.",3,345,1059
i start student teaching on monday and i’m really nervous about the little details. like where will i put my lunch? is there a fridge? when and where will i eat lunch? will i get a key to the bathroom? where will i sit? will i have a desk?,6,146,169
"What are you looking at?! Evil plans?! 

No no no, these are... ingredients! For a cake, for charity! For... kittens?",0,0,15
"I’m finna eat breakfast, lunch &amp; dinner when it come to this nigga 😂😂",1,259,1855
pure matcha cream and french butter croissant is always a good idea,0,106,218
"I take coffee to stay awake yet my eyes are still feeling heavy?!  🙄🙄 
I’m never taking banana smoothie carelessly again.",4,511,2125
i would wait til i’m home and comfy to want a cherry kombucha,0,45,722
"It's noon. What are you gonna do about lunch missy, do you want to eat at the cafeteria or go purchase something?",0,31,605
"Fuck...
Might not drink tonight...
Mexican food and my wines, never, ever, ever, mix...",0,9,634
My lunch is lugaw with tokwa and sumpia/lumpia. Sherep.,0,42,720
"In primary school, we had this girl who used glasses; I liked her. I gave her my lunch, gave her my pocket money, and gave her my cardigan. 

Dude, one day, she collected a biscuit from a friend of mine. I quit her in my mind.",15,750,1722
I love Mexican food!!,0,129,930
lunch tiiimee~~ yippee!! what will we have today?,0,12,114
Definitely been looking into organic/vegan makeup brands 😌,0,46,65
People that wouldn’t have been allowed at my lunch table in middle school rich af now. I’m proud of you.,1,98,9805
Lunch 4.,0,0,5
baking cookies at 1 am,0,65,521
They really had me sitting in the principle office everyday during lunch in elementary school. In kindergarten only.,0,22,194
I really must resist. But I don't think I can deny Hoagie Haven another visit. Lunch time much?,5,137,1284
"“Why would you come to Italy to see Spanish steps? That's like going to China for Mexican food, isn't it?”",4,100,1751
i think i outed myself wednesday😓 my friend was talking about how she wanted to lose weight but still wanted school lunch and i was like just eat the school lunch then don’t eat anything at home 😅 cause that’s what i do but my other friend was like no!! i forget i’m disordered,2,172,415
Kantutan wednesday lunch/fuck buddies didn't waver one that's a new millennium,0,246,298
"happy sunday moots, don't skip ur lunch😉",1,150,1516
"It’s my last week in Victoria and I am eating from all my fav spots. Ramen Arashi, Picnic Too, Bin 4, Ghost Ramen. More too come.",1,45,44
"Diet Diary (Day 10 - 8th January 2023)

I will report back next Thursday, hoping to have lost another 5 pounds. A massive amount of weight to lose before I reach my desired weight but extremely confident of a successful outcome. At 57 years of age, it is imperative to get fit.",0,9,185
my hands smell like garlic bc i just had to get up early and cook my own lunch at the ass crack of dawn😭,0,9,119
“Why am I not losing” I say as I eat my diet of exclusively oatmeal and peanut butter for weeks on end,0,39,54
"The fountain of healthy ageing is pretty simple: keep up a healthy diet, work out regularly, take the right supplements, and follow a good skin routine.",0,43,1640
beef jerky is my comfort food if i don’t consume a packet a day i go mental 🥩,1,173,260
having a veggie taco for lunch yay,0,5,10
Told Oneilia I’m not feeling well she’s going to ask if I have honey and lime. What am I a farmers market?,0,21,31
"There was NO chance for a result at lunch on Day 4 following 6 consecutive sessions of rain delay.
So why not let Khawaja score 5 more runs for his double hundred? 
Would have taken 5 minutes of time! Poor decision Pat! #AUSvRSA #TestCricket #AUSvsSA",3,292,217
I'm hungry because I ate snacks instead of breakfast and lunch. I need to eat something.,1,92,694
Day 195 of trying to get @DrSquatchSoapCo and @StoneBrewing to bring back stone IPA please,1,37,78
i asked my mom if i could fry the potatoes i chopped last night. i haven’t had my lunch yet (meals in my country should be rice + veggies or fish or meat or something you want to combine with rice). mom was laughing bc i look liked a kid asking for something.,0,144,574
"Enough crying..Since i can’t go to the fanmeet anymore, can u guys suggest where is delicious halal food in Bangkok and attractive place around Bangkok that we can go",9,766,264
one of my coworkers staring at me during my lunch and then when i finally decide to make eye contact and smile she looks away w an attitude like what tf was the point LMFAOO,1,125,1362
"Hemp crops are tall, have thick foliage, and can be planted densely, and thus can be grown as a smother crop to kill tough weeds. Using hemp this way can help farmers avoid the use of herbicides, gain organic certification, and gain the benefits of crop rotation.",0,43,74435
"Good morning…

Wake -  by the grace of God
Worship - The Lord Jesus Christ
Pray - in Jesus’ Name
Read - God’s Word in The Holy Bible

This morning routine is a MUST!

Now…let’s run a few morning errands &amp; later link up with old mates for lunch.

Happy first day of the week 💃🏻🥳",7,121,614
When we were put in separate classes... I was often invited by other people in my classes to go home together or eat lunch together.,1,19,324
should i put a little bit of peppermint in a smoothie?,4,271,205
Gin or Tequila. Those are my fighting drinks.,0,9,44
Modded sis. She can now remote control electronic appliances in the house WITH HER MIND. MUAHAHAHA --cough-- Maybe she can make me some lunch now. (please),0,12,59
"She also likes eating.
 Why don't you take her to a dessert place instead?
 There's one she wants to try called Snowcastle. They have shaved ice and boba.
 It's within walking distance from the school. Students visit it during lunch hour.",0,19,156
the smoothie skittles are so mid,1,234,1242
absolutely nothing was learned from the music for a sushi restaurant music video for some in the audience,6,386,501
I want Thai food 😩,1,470,22482
"Sharks have held their own at 5 on 5, but the Bruins PK is taking their lunch",2,535,1604
"bigwig &lt;IF&gt;

実力者、大物

a person who has an important or powerful position:

We were invited to a lunch with local bigwigs.",0,4,46
"Hey there!! Welcome to Vietnam. 

Your local cuisine dish will be 🥁 
 
Vietnamese spring rolls.  

I challenge you to eat this dish with a coffee cup. And without closing your elegant eyes.",0,5,51
Dieting is not a piece of cake.,0,1,239
Siney best late lunch time tok oh? Recommend lok @TuaiRumahKitai @bongkersz,0,417,1464
I never understood why ppl are so obsessed with serving smoothie bowls in coconut shells,0,127,559
"Ain’t anyone ever told you it’s kinda rude to turn someone down after they’ve offered to buy you lunch, kyoudai?",0,3,31
"anyways! your next activity after lunch will be a rousing camp-wide swim! wow! so hurry up and eat, little loves, and don’t stay in the water too terribly long or your skin might acquire a variety of fun new colors.",0,0,21
I eat Kryms toes for breakfast lunch and dinner. She laughs,3,45,74
"good afternoon. and yes the first thing i did after i got home and ate lunch was to like all ike content with my new account.

have a nice day everyone, i will now cram a lot of school stuff 🥲",2,18,14
"A good life is a boring life. 

- Same time of sleep daily
- Same time of exercise daily
- Same diet for max nutrition
- Same work time
- Same Entertainment

People don’t like boring things, hence they don’t get a Good Life.

Want a good life?
#ChooseBoredom",0,75,2321
Shibarium lunch date ?,0,17,18
"self care/mental health tips 

ღ´- read a book 
ღ´- clean your room
ღ´- take a deep breath 
ღ´- log off of social media 
ღ´- take a nap
ღ´- drink tea 
ღ´- try yoga
ღ´- eat comfort food
ღ´- try arts &amp; crafts",0,20,13
i want pepper lunch so bad,3,196,112
"I'm hungry...
I think I'm going to have lunch while watching the last debut stream so no more livetweets for me lol sorry Shinri",0,59,492
"Devastating 1 point loss Thursday.
Friday,class,film,practice,film,bus to Jax State.
Today breakfast,film,lunch,more film,walk thru,film, pre game, film.
Down 5 @ half, win by 13. 

ETA 5:51am via bus. ZERO complaints! No entitlement!
Love your teammates, love the game, POWERFUL!",288,40087,10876
Taeyong’s favorite drink is yogurt smoothie.,0,76,11
I would like to start making my own kombucha but I think I’d be disgusted by the scoby.,0,30,749
weeks deep into the annual nothing but leg ham and cheese toastie lunch run and you really get how dogs still go wild for the same meal everyday,28,3939,1832
I think i woke up without eating both beeakfast and lunch....,5,72,343
Went to a busy restaurant to get sushi with my Dad tonight. A older couple walks in a few mins later wearing masks and sits down at the booth next to us. They take off their masks and enjoy their dinner. When they finish their meal they put their masks back on and walk outside.,1,16,219
"Mother Earth Sin Tax - Nitro  (@motherearthbrewco)  is on, replacing Iron Horse Apple Pie Death (@IronHorseBeer)",0,14,155
The strawberries i bought for my smoothie tomorrow are being eaten tonight… 🤭,0,41,2015
"I haven’t had good soul food in Houston yet and that angers me. Y’all niggas REFUSE to season shit, huh?!?",1,224,339
My middle school friend that used to make fun of Africans is in Ghana right now eating waakye 🙂🙂,14,1366,85
"Are you ready for a challenge? Create your lunch with tomato, goat, taco sauce, and gemelli 🤥",0,2,8
"this is a lunch's menu, Deep fired Fish🐟, severed with Rice🍚 , then vegetable for today will recommend with Cucumber🥒",0,0,31
so i went from eating proper meals yesterday to only eat tteobokki for lunch?,0,113,622
Half of watching the sopranos is cool mafia stuff and the other half is watching Tony dip lunch meat in a jar of mayonnaise and eat it,1,49,29
Up baking cookies 😭,0,36,293
I will make myself an extravagant salad consisting of only the most organic &amp; overpriced produce that I so reluctantly bought from Whole Foods and wash it all down with a tall can of twisted tea,3,320,40
Anna went to the Ribeira and ate pastel de nata and drank vinho verde.,0,2,8
"The american food industry funded by fauci and name brand food companies are trying to ""rewrite"" our food pyramid. They are saying that the more processed food you consume the healthier you will be and the less natural organic food you eat the healthier you will be. 
Umm what? 🥴",1,19,77
Made carbonara for lunch 🫶 this is such a wife me up behavior,7,327,242
Lunch,0,18,246
Breakside IPA   (@breaksidebrews)  is now on tap,0,102,702
Firestone Walker Gin Rickey   (@FirestoneWalker)  is now on tap,0,30,513
"Thing that happened to me during dinner
Me: *is just eating ramen*
Dad, completely unprompted: *hands me a picture of my dead sister* here, I found this for you to put in your wallet. 
Me: oookay, thank you?
Dad: you can write her name on the back for when you show people
???????",0,57,147
going to the farmers market tomorrow yayy,1,20,213
i ran into this dude at target and accidentally made him break a glass kombucha bottle and we had no fucking idea what to do,0,5,8
Read The Canterbury Tales and drink some refreshing kombucha from a mason jar.,0,3,20
kombucha tastes like fermented fart dirt,5,311,27194
"I swear nothing makes me happier than thinking of a cocktail, making it, and it turning out better than imagined 👏🏼😫",3,247,403
ran into a former student at the brewery with a whole ass beer in my hand,0,72,151
"I went to @Wawa to get a smoothie tonight and ended up getting t-boned on my way home. Wawa, I love you. But 0/10 not worth the smoothie in this case.",0,30,186
I be writing music on my lunch breaks like this is fuckin 8 mile 😂😂,4,188,302
Craving Mexican food at a ridiculous hour.,0,43,240
I hate the smell of ramen noodles🤢,0,13,15
baking cookies cookies and redecorating my apartment ˙ᵕ˙ ♡‧₊˚,3,105,1107
bruins lineup smoothie tonight,1,70,99
"This Fri, you will make me 🌮 for lunch 💃",0,1,14
Lol I’m up baking chocolate chip cookies at 12:45 in the morning😭,0,27,747
Right on time me having my lunch 🐺,0,68,1359
"ㅤ

       〝 Shiver ... She's not half bad. Might ask her out for lunch at some point. 〞
ㅤ",2,146,42
Thor is sharing his lunch with Miu,0,2,5
"sila: soft launch 
me: soft lunch 😌",2,295,216
GMO crops often manufacture their own pesticides and may be classified as pesticides by the EPA.,28,4683,171047
I’m hitting up that Starbucks guy tomorrow since he offered to take me to lunch 😎,0,38,701
I packed lunch nicely then forgot it at home. This will be a long day 🙄,1,1845,22966
"Rather than buying that Starbucks for the person behind you, call a local school and pay off a child's overdue lunch account
Clearly the person behind you in line can afford their coffee
#Starbucks",0,12,12
24 hour tropical smoothie me,4,348,3121
"Humphrey Bogart famously had this to say about #alcohol :

“World is just a 
few #drinks 
behind #reality “

What do you think he meant ?

#addict #people #liquor",3,1094,13002
Dont forget to lunch @SE_LynJKT48 🍴 you need energy to share hapinesss,0,13,3
Oh my god I ate all my Hawaiian food blacked out and I don’t remember if it was good for not 😭 I’m pissed,1,135,1291
spending my saturday night high and baking a cake,2,54,998
"I apparently have never heard Billy Joel's ""Italian Restaurant"" but now that I have Harry Style's ""Music from a Sushi Restaurant"" makes more sense.",0,69,1257
The worst part about living in Arizona is having to live with the burden of knowing that most of the country has no idea what good Mexican food tastes like.,3,398,785
after 3 tardies to first period it’s lunch detention and we have e-hallpasses now . where is may because i am not in middle school foreal 😂,0,156,62
"If you have something else to take care of, you should go and do that first, but if you're free, I'd like to ask you to spare some time for us during this lunch break.

We're counting on you.

Here, I'll give you some konpeito.",0,4,35
Big Soul Food energy. Teri is the biggest mood.,0,59,360
"it's me rubybot. once upon a time, a nonbinary person lived their life very disappointingly and then the moon drank kombucha??????",0,1,6
"I’m not a bad friend, I’m a dad friend. I don’t want to have wine and hang out. But I’ll help you paint your house. I don’t want to go to lunch. I sure as hell will help you move out when your boyfriend cheats though. I’ll show up when you break down on the side of the road.",1,76,208
"i heard something, for abc diet to work, it's okay if you go over your cal limit you just need to burn the extra calories!!",0,5,13
I really appreciate authors who make me laugh and Tia Williams has me giggling in a sushi restaurant.,1,149,585
"Lunch time, but I am craving for sweet breads and ice cream.",0,64,121
I 👆🏼am on a STRICT seafood diet.  I see food and i eat it 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2,19,8
"Sea turtle eggs look like jaguar/crocodile Golden Corral, idk how any baby sea turtles ever make it to the ocean man",0,71,516
I want some food from a food truck 😣,1,231,3250
I think #sigbrewing is order for tomorrow for #brunch and the @seahawksPR game,0,115,3036
After lunch 😴 mode 😴😴😴,0,27,138
Intuitive &amp; mindful eating 🫰,1,45,26
"Kia ora! Let me introduce myself. I'm carol. let me show you what fine food I find in the world. where I am in is Spain🇪🇸. The weather now is ☁️🌤☁️☁️. 

 I love🍙🍛🍯🌰",0,0,27
Can’t wait til lunch cause I’m having seconds of last nights supper. Yum 😋,3,985,18582
saw this video of a girl after she lost like 45 pounds or smth and she still had to diet and omad to maintain and that depresses me so much like it has to be over one day right,0,40,24
I been watching tooo many food reels.  Threw a few mozzarella sticks in my Italian hoagie like a college freshman  for lunch today 🤣🤣🤣,0,73,1004
today lunch apa ya??,0,130,2365
"Massive fucking shoutout to @ToastedArt1 and his mom for just completely unprompted buying me lunch today, that was so fire.",7,193,239
got to attend the iranian regime protests on my lunch break today life is crazy,4,121,308
"'I've written many love letters, for smaller crushes, bigger crushes, and random people I met at the farmer's market!'",0,2,12
"Today we will be eating Orecchiette pasta, with Queijo Serra Da Estrela cheese.",0,21,4
I'm turning 26 this year holy cup noodle,4,512,1060
"I'm not eating my lunch b'coz this game, then my heartbeat is going wild sheesh get a W Lakers im gonna be ok🙏👑👊💪",2,336,2607
Multinational Corporation and Several Individuals Charged with Multimillion-Dollar Organic Grain Fraud Scheme,0,2,0
loving my lunch meal today 😍,0,111,1331
"The world's oldest food is honey, which has been found in the tombs of ancient Egyptian pharaohs and is still edible after thousands of years.",0,1,0
"Ugh, I'm even out of ramen rn. Payday isn't until Tuesday, and there's no food at work on the weekends. Ugggggghhhhhh",0,51,471
not my colleagues (friends too) catching me going out for lunch w my ex situation,0,161,288
Not even the slightest buzz after three gin drinks is very suspicious. 🤔,0,31,228
"“I’m so anxious all the time.”  - Me, the bitch that drinks four cups of coffee a day, has a diagnosed anxiety disorder, and has dabbled in uppers on and off for half her life",2,79,65
Not a better feeling than seeing Sabi eat her fill of ramen and gyoza 😁,1,96,144
lunch or skip?,0,28,1763
Why have they’ve been playing bangers at kbbq,0,228,1007
I know that learning about a beautiful vista isn't a good idea – just as baking a cake is a bad decision.,0,0,15
"Thinking about buying some fake kitchen backgrounds and making cocktail shorts, reels, tiktoks etc...",1,177,438
The ingredients I pick for my morning smoothies are always based on how I’m feeling health-wise that day. Hm? You want to know my recipes? That would take all day.,1,60,628
The woke mob just kicked in my door and made me use preferred pronouns for lunch meat (olive loaf is they/them).,0,53,597
makoto and matsuda went out to lunch together and now i am alone with celeste (wish me luck) she might bite me,0,10,24
I think 🤔 I'll have Subway for lunch tomorrow.,0,16,44
i want a smoothie,0,89,1130
"Meri public!! 
What's cooking for lunch...like seriously puch rahi hu...kal raat ko 4 log dinner pe aane wale the...I ordered take out. 1 couple didn't come coz ""emergency"" ..def jhagda hua hoga unka. Merko baasi khana hi khana padega abhi...nahi to waste jayega😭",20,783,647
eating dry ramen,0,10,9
I could go fucking insane with some soul food right now,0,36,97
"dreadful Now! Lunch Sadly King Trumpeted
؟?
نمشے

🔹H80🔹
🔹H80🔹
🔹H80🔹",0,0,4
I drinks smoothies for breakfast and lunch and eat dinner. I love it,0,58,925
Finally made the pounded yam right 🥹❤️,0,65,306
"this sophomore i see at lunch foubd my ig and she is literally so nice and so pretty, i am going to faint.",0,14,155
"I really need to progress more in FFXIV because I want to meet G’raha Tia. I hear he is a very supportive character and something tells me I would like him a lot. Plus he just looks friendly, he looks like the kind of guy I would take to go get lunch or something :)",1,76,241
grr i’ve eaten too much today but it’s alright because i can just exercise. yayy /s i feel like i’m not even doing the abc diet right atp,0,26,233
"The way that Alabama Men’s BBall team is playing it looks like the purple and gold I will be seeing on Feb 4 will be at the Pete Mac and not the Smoothie King Arena… #BamaVsLSU #PelsVsLakers I mean, I was only going to SKC for dude, but dude ain’t dude anymore so… 😂😂😂",0,65,216
I think tomorrow to cheer myself up I’m going to take myself to Two Hands in the Gulch for their detox lunch special.  H/t @nashvillenoise for the idea.,1,81,333
Forgot the dry ingredients at home for my husband’s lemon cake with lemon icing !!  It will be a happy birthday nonetheless,5,182,211
A friend doesn't go on a diet because you are fat.,0,0,42
i love those bento cakes so much 😞 ESSPECIALLY IF THEY HAVE THE LIL 3D ANIMALS OMG,1,32,10
watching ep 1046 while eating lunch has got to be the worst decision ive ever done bc i choked on my rice when zoro's boob twitched like that,1,94,51
I really hope you are feeling completely energetic and passionate after a proper lunch 💪⚡,0,4,75
"🤍 01/07 calories
⁃lunch: +536
⁃dinner: +720
⁃water: 40oz
⁃exercise: -56
⁃total: +1200
i ate too much cake tdy.",0,15,15
Muu should get more of the mille-crêpes she wants,1,51,345
